# file name
# oil-aspiration/092922-6.xlsx
# pressure
# 3693.8
# delta pressure
# 895.0
# huan comment
# Oil condensate in air, Pipette filled with ethanol,  oil wetted the outer wall of pipette, but not inner wall
# state
# nonwetting
# pipette fill
# ethanol
# solvent
# air
# lubricating ethanol
# false
496.00,2.259
497.00,3.152
498.00,3.779
499.00,4.239
500.00,4.747
501.00,5.219
502.00,5.703
503.00,6.225
504.00,6.506
505.00,7.004
506.00,7.335
507.00,7.706
508.00,8.216
509.00,8.534
510.00,9.062
511.00,9.365
512.00,9.685
513.00,10.016
514.00,10.361
515.00,10.808
516.00,11.125
517.00,11.395
518.00,11.766
519.00,12.123
520.00,12.507
521.00,12.596
522.00,12.851
523.00,13.158
524.00,13.441
525.00,13.709
526.00,13.978
527.00,14.150
528.00,14.341
529.00,14.579
530.00,14.850
531.00,15.186
532.00,15.313
533.00,15.554
534.00,15.706
535.00,16.025
536.00,16.216
537.00,16.421
538.00,16.623
539.00,16.906
540.00,17.206
541.00,17.436
542.00,17.602
543.00,17.757
544.00,18.048
545.00,18.277
546.00,18.483
547.00,18.727
548.00,19.020
549.00,19.250
550.00,19.388
551.00,19.579
552.00,19.859
553.00,20.075
554.00,20.382
555.00,20.573
556.00,20.684
557.00,20.853
558.00,21.119
